Year,Country,Code,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
2015,Guyana,GUY,67.03376629,16.96156147,49.71857207,0.46024484200000004
2016,Guyana,GUY,64.37554609,16.16857732,47.84974226,0.461321019
2015,Haiti,HTI,125.84507430000001,108.5124416,15.29744574,3.266143343
2016,Haiti,HTI,123.58597649999999,106.5389129,14.9900033,3.283936268
2015,High SDI,,19.05266395,0.386260316,16.600541699999997,2.459287195
2016,High SDI,,18.07876295,0.375968555,15.62456927,2.448351348
2015,High-income,,17.62175038,0.24675398,15.35338353,2.363946754
2016,High-income,,16.71051723,0.237784188,14.43582695,2.358088806
2015,High-income Asia Pacific,,13.816336900000001,0.026115802,12.69172332,1.33693273
2016,High-income Asia Pacific,,13.05460137,0.025530942999999997,11.92023013,1.3354040759999999
2015,High-middle SDI,,57.90432455,7.020371695,47.21284865,5.316979729
2016,High-middle SDI,,55.41358887,6.869205142999999,44.85852236,5.261239026
2015,Honduras,HND,53.99513408,36.74166004,16.03790452,1.780419732
2016,Honduras,HND,52.50476517,35.80503008,15.46503924,1.789380741
2015,Hungary,HUN,44.67685559,9.230940745,32.31360994,3.967522423
2016,Hungary,HUN,40.53679744,8.617003138,28.94797624,3.730293213
2015,Iceland,ISL,10.74241488,0.152811157,9.169528212000001,1.5751244290000002
2016,Iceland,ISL,9.917058291,0.13614122,8.321408218,1.603544941
2015,India,IND,136.3533402,56.86405701,69.48516009,17.21184181
2016,India,IND,134.6439384,54.36284385,70.13195309,17.30746985
2015,Indonesia,IDN,69.32689892,40.44046642,26.76759351,2.83499688
2016,Indonesia,IDN,67.61282231,38.48003028,26.96032519,2.8896666069999997
2015,Iran,IRN,47.20984166,0.354303565,44.66789037,2.985254442
2016,Iran,IRN,46.64054019,0.309519424,44.13879082,2.984259176
2015,Iraq,IRQ,46.306574100000006,0.25912596600000004,45.16626712,1.294474012
2016,Iraq,IRQ,43.94480221,0.226852489,42.8659944,1.247156116
2015,Ireland,IRL,15.68331661,0.256258441,14.19710476,1.4131633380000002
2016,Ireland,IRL,14.82763004,0.23964028,13.36611616,1.39592769
2015,Israel,ISR,22.84496128,0.17816800800000002,20.92321073,2.226262372
2016,Israel,ISR,21.32263986,0.174727648,19.44841209,2.148793116
2015,Italy,ITA,18.5458846,0.22272562,16.63657787,2.091945747
2016,Italy,ITA,17.03085117,0.20856357,15.20014539,1.9932132480000002
2015,Jamaica,JAM,41.81069447,9.420593081,31.05563871,1.6424164780000001
2016,Jamaica,JAM,42.42710729,9.620117404,31.38381121,1.739867115
2015,Japan,JPN,11.94683959,0.027849988,10.8679657,1.255643958
2016,Japan,JPN,11.34093187,0.027411797,10.25140981,1.25643224
2015,Jordan,JOR,40.38387787,0.02243646,38.69590862,2.239751843
2016,Jordan,JOR,39.66897989,0.020815216,37.97537363,2.240248915
2015,Kazakhstan,KAZ,55.32692369,15.20587348,36.99953888,3.8173889969999997
2016,Kazakhstan,KAZ,52.6392664,14.36496622,35.1593451,3.7646562439999998
2015,Kenya,KEN,93.82471684,70.28555283,22.38257189,1.870782406
2016,Kenya,KEN,92.04585122,68.24043479,22.64129832,1.8749827540000001
2015,Kiribati,KIR,159.69672480000003,142.4235847,15.87246806,2.206265033
2016,Kiribati,KIR,156.12519550000002,139.8728845,14.81458597,2.24089871
2015,Kuwait,KWT,35.89668304,0.062252835,35.20830192,0.9229125229999999
2016,Kuwait,KWT,34.87315969,0.055610145,34.19825417,0.9024512379999999
2015,Kyrgyzstan,KGZ,76.46804997,33.57050198,39.13133751,5.0975250910000005
2016,Kyrgyzstan,KGZ,71.61924985,31.42919327,36.48896667,4.9670300769999995
